VideoName,UserIndex,epochCNN
1-1-Conan Gore Fly,1,200
running time,epochs,FirstLoss,FinalLoss
1.0,1.0,1.0,4.0,3.5551939010620117
1.0,1.0,1.0,4.0,3.8385136127471924
0.994,0.963855421686747,1.0,4.0,3.7400221824645996
0.935,0.6488095238095238,0.9478260869565217,2.875,3.4029996395111084
0.948,1.0,0.7833333333333333,6.0,4.165001153945923
0.904,1.0,0.6390977443609023,6.65,3.7907657623291016
0.878,0.9411764705882353,0.5289256198347108,6.05,3.5909996032714844
0.581,0.8975903614457831,0.27041742286751363,13.775,3.6489195823669434
0.82,0.863013698630137,0.4405594405594406,7.15,3.6440062522888184
0.837,0.7430555555555556,0.4592274678111588,5.825,3.958550453186035
0.806,0.9921875,0.396875,8.0,3.8529465198516846
0.811,1.0,0.4584527220630373,8.725,4.046513557434082
0.855,0.463855421686747,0.5789473684210527,3.325,3.8404979705810547
0.847,0.9166666666666666,0.5255972696245734,7.325,3.985999822616577
0.78,0.9861111111111112,0.24482758620689654,7.25,3.9830286502838135
0.863,0.7686567164179104,0.49282296650717705,5.225,3.9498300552368164
0.914,0.990909090909091,0.7218543046357616,7.55,3.8089475631713867
0.943,0.90625,0.8493723849372385,5.975,3.6914939880371094
0.95,0.8482142857142857,0.9223300970873787,5.15,3.841575860977173
0.895,0.5714285714285714,0.9343065693430657,3.425,3.887997627258301
0.908,0.6607142857142857,0.9024390243902439,4.1,3.913543701171875
0.923,1.0,0.7441860465116279,7.525,3.9585182666778564
0.904,0.7934782608695652,0.7156862745098039,5.1,3.977909803390503
0.878,0.8266666666666667,0.5636363636363636,5.5,3.9400837421417236
0.84,0.7777777777777778,0.4666666666666667,6.0,3.9994957447052
0.819,0.9859154929577465,0.438871473354232,7.975,3.9565532207489014
0.879,0.9782608695652174,0.6060606060606061,7.425,4.077028036117554
0.919,0.9901960784313726,0.7188612099644128,7.025,3.930497169494629
0.939,0.9903846153846154,0.7773584905660378,6.625,3.9028916358947754
0.892,0.7735849056603774,0.7321428571428571,5.6,3.9222989082336426
0.886,0.7389380530973452,0.7522522522522522,5.55,3.9106736183166504
0.937,0.9833333333333333,0.8,7.375,3.952911853790283
0.902,0.9833333333333333,0.7151515151515152,8.25,3.9578206539154053
0.9,0.6666666666666666,0.7951807228915663,4.15,3.9362099170684814
0.837,1.0,0.5408450704225352,8.875,3.8657941818237305
0.936,0.9754901960784313,0.7713178294573644,6.45,3.815664052963257
0.864,0.9789915966386554,0.6401098901098901,9.1,3.8550641536712646
0.864,1.0,0.6222222222222222,9.0,4.002029895782471
0.903,0.9821428571428571,0.7028753993610224,7.825,4.051174879074097
0.868,0.6875,0.7129629629629629,5.4,3.859999179840088
0.862,0.9017857142857143,0.6352201257861635,7.95,3.8189990520477295
0.894,0.78125,0.7543103448275862,5.8,3.9402318000793457
0.869,0.8915094339622641,0.6363636363636364,7.425,3.786731243133545
0.862,0.8465346534653465,0.6151079136690647,6.95,3.8863472938537598
0.891,0.9821428571428571,0.6088560885608856,6.775,3.930511236190796
0.883,0.93125,0.5843137254901961,6.375,3.846027135848999
0.895,0.8366336633663366,0.7012448132780082,6.025,3.8560898303985596
0.82,1.0,0.5135135135135135,9.25,3.8229994773864746
0.936,1.0,0.7793103448275862,7.25,4.037963390350342
0.94,0.7606837606837606,0.978021978021978,4.55,3.5178418159484863
0.854,0.8125,0.5864661654135338,6.65,4.26851487159729
0.903,0.7884615384615384,0.7557603686635944,5.425,4.052352428436279
0.899,0.8578431372549019,0.708502024291498,6.175,4.309997320175171
0.917,0.9230769230769231,0.7413127413127413,6.475,3.992994546890259
0.841,0.9271844660194175,0.5701492537313433,8.375,4.063520193099976
0.753,1.0,0.4160756501182033,10.575,4.076003551483154
0.889,0.955,0.6518771331058021,7.325,4.119000434875488
0.921,0.8625,0.8181818181818182,6.325,4.021999359130859
0.842,0.9242424242424242,0.5613496932515337,8.15,4.1116790771484375
0.978,0.9649122807017544,0.9401709401709402,5.85,4.0207648277282715
0.728,1.0,0.41379310344827586,11.6,4.086962938308716
0.928,0.9895833333333334,0.7307692307692307,6.5,4.0920021533966064
0.899,0.9010416666666666,0.6784313725490196,6.375,3.9927403926849365
0.938,0.953125,0.7754237288135594,5.9,3.9380366802215576
0.582,0.9791666666666666,0.3122923588039867,15.05,4.00100040435791
0.852,0.9761904761904762,0.5324675324675324,7.7,4.029065132141113
0.843,0.8421052631578947,0.6134185303514377,7.825,3.9546453952789307
0.949,0.915929203539823,0.8661087866108786,5.975,3.9949939250946045
0.828,0.9151785714285714,0.5726256983240223,8.95,3.920999526977539
0.922,0.8080357142857143,0.8379629629629629,5.4,3.9485862255096436
0.924,0.7946428571428571,0.8557692307692307,5.2,3.9363977909088135
0.945,0.9285714285714286,0.8421052631578947,6.175,3.9070241451263428
0.897,0.6428571428571429,0.8622754491017964,4.175,3.8770782947540283
0.88,0.5625,0.8513513513513513,3.7,4.02699875831604
0.868,0.8616071428571429,0.6564625850340136,7.35,3.960541248321533
0.794,0.9285714285714286,0.5226130653266332,9.95,3.8852975368499756
0.846,0.7330097087378641,0.604,6.25,3.904999256134033
0.84,0.6375,0.5,5.1,3.901768684387207
0.838,0.5842696629213483,0.5416666666666666,4.8,4.0785133838653564
0.869,0.4811320754716981,0.8292682926829268,3.075,4.032997369766235
0.866,0.8863636363636364,0.5777777777777777,6.75,4.065001487731934
0.86,0.7473684210526316,0.6068376068376068,5.85,4.0115931034088135
0.852,0.9032258064516129,0.5637583892617449,7.45,3.994330406188965
0.792,0.9938271604938271,0.4375,9.2,4.040230751037598
0.919,0.7142857142857143,0.7092198581560284,3.525,4.217028856277466
0.874,0.6918604651162791,0.6197916666666666,4.8,4.124513387680054
0.836,0.875,0.5573248407643312,7.85,4.061323165893555
0.828,0.8709677419354839,0.4090909090909091,6.6,4.1411848068237305
0.803,0.40384615384615385,0.23728813559322035,4.425,4.230517148971558
0.793,0.4142857142857143,0.14871794871794872,4.875,4.187544822692871
0.786,0.625,0.2892561983471074,6.05,4.212927579879761
0.784,0.6517857142857143,0.292,6.25,4.056083679199219
0.747,0.7678571428571429,0.2747603833865815,7.825,3.8889989852905273
0.745,0.8103448275862069,0.2874617737003058,8.175,4.02400016784668
0.763,0.8359375,0.33126934984520123,8.075,4.010100603103638
0.749,0.8571428571428571,0.29003021148036257,8.275,4.078031301498413
0.744,0.8225806451612904,0.30357142857142855,8.4,4.016183137893677
0.775,0.7857142857142857,0.3044982698961938,7.225,3.9339993000030518
0.738,0.7767857142857143,0.26851851851851855,8.1,3.965000867843628
0.788,0.704225352112676,0.37037037037037035,6.75,3.9408509731292725
0.489,0.975,0.23529411764705882,16.575,3.937999963760376
0.647,0.9166666666666666,0.31237322515212984,12.325,3.9427666664123535
0.564,0.9726027397260274,0.24738675958188153,14.35,4.075537443161011
0.874,0.8125,0.6059322033898306,5.9,4.01500129699707
0.811,0.8169014084507042,0.4157706093189964,6.975,3.907113790512085
0.815,0.8823529411764706,0.34220532319391633,6.575,4.0525219440460205
0.876,1.0,0.4959349593495935,6.15,4.029055833816528
0.898,1.0,0.575,6.0,4.148001194000244
0.852,1.0,0.4931506849315068,7.3,4.064000606536865
0.878,0.5416666666666666,0.582089552238806,3.35,4.067553520202637
0.911,0.9821428571428571,0.6573705179282868,6.275,4.074002027511597
0.957,0.9174311926605505,0.8888888888888888,5.625,4.005511045455933
0.863,0.42410714285714285,0.9223300970873787,2.575,3.975999355316162
0.974,0.9553571428571429,0.9304347826086956,5.75,3.8930013179779053
0.974,0.9553571428571429,0.9304347826086956,5.75,4.022060871124268
0.99,1.0,0.9586776859504132,6.05,3.9519996643066406
0.952,1.0,0.8,6.0,4.073000192642212
0.876,1.0,0.6075949367088608,7.9,3.754056453704834
0.922,0.9222222222222223,0.7217391304347827,5.75,3.8995330333709717
0.888,0.8767123287671232,0.5765765765765766,5.55,3.9549999237060547
